Index,기능,Method,API Path,Request,Response
AUTH-001,로그인/토큰 발급,POST,/api/v1/auth/login,AuthLoginRequest (AuthLoginRequest (https://app.notion.com/p/AuthLoginRequest-3909e2d9440581c2b33cd6497b4bd443?pvs=21)),LoginResponse (LoginResponse (https://app.notion.com/p/LoginResponse-3919e2d94405818abd1edb83e0f960f7?pvs=21))
AUTH-002,로그아웃,POST,/api/v1/auth/logout,None,IdResponse
AUTH-003,카카오 로그인,POST,/api/v1/auth/kakao/login,KakaoLoginRequest (KakaoLoginRequest (https://app.notion.com/p/KakaoLoginRequest-3919e2d9440581129fb7e1b7e818834c?pvs=21)),LoginResponse (LoginResponse (https://app.notion.com/p/LoginResponse-3919e2d94405818abd1edb83e0f960f7?pvs=21))
AUTH-004,애플 로그인,POST,/api/v1/auth/apple/login,AppleLoginRequest (AppleLoginRequest (https://app.notion.com/p/AppleLoginRequest-3919e2d9440581cca6eee5b1b388aba8?pvs=21)),LoginResponse (LoginResponse (https://app.notion.com/p/LoginResponse-3919e2d94405818abd1edb83e0f960f7?pvs=21))
AUTH-005,네이버 로그인,POST,/api/v1/auth/naver/login,NaverLoginRequest (NaverLoginRequest (https://app.notion.com/p/NaverLoginRequest-3919e2d94405818f972dd0a652e44222?pvs=21)),LoginResponse (LoginResponse (https://app.notion.com/p/LoginResponse-3919e2d94405818abd1edb83e0f960f7?pvs=21))
AUTH-006,온보딩 완료,POST,/api/v1/onboarding/complete,OnboardingCompleteRequest (OnboardingCompleteRequest (https://app.notion.com/p/OnboardingCompleteRequest-3919e2d944058174b021d7b6ff319a86?pvs=21)),OnboardingCompleteResponse (OnboardingCompleteResponse (https://app.notion.com/p/OnboardingCompleteResponse-3919e2d9440581a79c12f0250eed1afe?pvs=21))
COMM-001,커뮤니티 게시글 목록 조회,GET,/api/v1/community/posts,"Query: postType, cropId, keyword, page, size",PageResponse<CommunityPostResponse>
COMM-002,커뮤니티 게시글 생성,POST,/api/v1/community/posts,CommunityPostCreateRequest,CommunityPostResponse
COMM-003,커뮤니티 게시글 상세 조회,GET,/api/v1/community/posts/{postId},None,CommunityPostResponse
COMM-004,커뮤니티 게시글 수정,PATCH,/api/v1/community/posts/{postId},CommunityPostUpdateRequest,CommunityPostResponse
COMM-005,커뮤니티 게시글 삭제,DELETE,/api/v1/community/posts/{postId},None,IdResponse
COMM-006,커뮤니티 댓글 목록 조회,GET,/api/v1/community/posts/{postId}/comments,"Query: page, size",PageResponse<CommunityCommentResponse>
COMM-007,커뮤니티 댓글 작성,POST,/api/v1/community/posts/{postId}/comments,CommunityCommentCreateRequest,CommunityCommentResponse
COMM-008,커뮤니티 댓글 수정,PATCH,/api/v1/community/comments/{commentId},CommunityCommentUpdateRequest,CommunityCommentResponse
COMM-009,커뮤니티 댓글 삭제,DELETE,/api/v1/community/comments/{commentId},None,IdResponse
COMM-010,질문 답변 채택,POST,/api/v1/community/posts/{postId}/comments/{commentId}/accept,None,AcceptCommentResponse
CROP-001,작물 마스터 목록 조회,GET,/api/v1/crops,"Query: keyword, category, lifecycleType, page, size",PageResponse<CropResponse>
CROP-002,내 재배 작물 목록 조회,GET,/api/v1/user-crops,"Query: farmId, status, page, size",PageResponse<UserCropResponse>
CROP-003,내 재배 작물 등록,POST,/api/v1/user-crops,UserCropUpsertRequest,UserCropResponse
CROP-004,내 재배 작물 수정,PATCH,/api/v1/user-crops/{userCropId},UserCropUpsertRequest,UserCropResponse
CROP-005,내 재배 작물 삭제,DELETE,/api/v1/user-crops/{userCropId},None,IdResponse
FARM-001,내 농장 목록 조회,GET,/api/v1/farms,"Query: page, size",PageResponse<FarmResponse>
FARM-002,농장 생성,POST,/api/v1/farms,FarmCreateRequest,FarmResponse
FARM-003,농장 수정,PATCH,/api/v1/farms/{farmId},FarmUpdateRequest,FarmResponse
FARM-004,농장 삭제,DELETE,/api/v1/farms/{farmId},None,IdResponse
LEGAL-001,약관 문서 목록 조회,GET,/api/v1/legal-documents,"Query: documentType, latestOnly",LegalDocumentResponse[]
LEGAL-002,약관 동의 저장,POST,/api/v1/user-consents,UserConsentRequest,UserConsentResponse
LEGAL-003,내 약관 동의 목록 조회,GET,/api/v1/user-consents,None,UserConsentResponse[]
NOTI-001,알림 설정 조회,GET,/api/v1/notification-preferences,None,NotificationPreferenceResponse[]
NOTI-002,알림 설정 수정,PATCH,/api/v1/notification-preferences,NotificationPreferenceUpdateRequest,NotificationPreferenceResponse[]
POLICY-001,추천 정책 목록 조회,GET,/api/v1/policy-recommendations,"Query: page, size",PageResponse<PolicyRecommendationResponse>
POLICY-002,정책 추천 재계산,POST,/api/v1/policy-recommendations/recalculate,None,PageResponse<PolicyRecommendationResponse>
POLICY-003,정책 상세 조회,GET,/api/v1/policy-programs/{policyProgramId},None,PolicyProgramResponse
RECORD-001,영농일지 목록 조회,GET,/api/v1/farming-records,"Query: farmId, cropId, workTypeId, from, to, page, size",PageResponse<FarmingRecordResponse>
RECORD-002,영농일지 생성,POST,/api/v1/farming-records,FarmingRecordCreateRequest,FarmingRecordResponse
RECORD-003,영농일지 상세 조회,GET,/api/v1/farming-records/{recordId},None,FarmingRecordResponse
RECORD-004,영농일지 수정,PATCH,/api/v1/farming-records/{recordId},FarmingRecordUpdateRequest,FarmingRecordResponse
RECORD-005,영농일지 삭제,DELETE,/api/v1/farming-records/{recordId},None,IdResponse
RECORD-006,영농일지 사진 추가,POST,/api/v1/farming-records/{recordId}/media,RecordMediaUploadRequest,RecordMediaResponse
RECORD-007,영농일지 사진 삭제,DELETE,/api/v1/farming-records/{recordId}/media/{mediaId},None,IdResponse
RECORD-008,영농일지 코칭 피드백 조회,GET,/api/v1/farming-records/{recordId}/coaching-feedback,None,CoachingFeedbackResponse
RECORD-009,영농일지 코칭 피드백 재생성,POST,/api/v1/farming-records/{recordId}/coaching-feedback/regenerate,None,CoachingFeedbackResponse
REPORT-001,영농 리포트 조회,GET,/api/v1/reports/farming,"Query: periodType, from, to, farmId, cropId",FarmingReportResponse
SEARCH-001,통합 검색,GET,/api/v1/search,"Query: q, type, cropId, workTypeId, from, to, page, size",SearchResponse
